#,Vessel name,IMO,Country,Departure port,Commodity,Tonnage,Departure,Inspection cleared
80,MUBARIZ IBRAHIMOV,9575292,Türkiye,Odesa,Sunflower oil,6600,04-Sep-22,09-Sep-22
81,MAINA,9699892,Spain,Yuzhny/Pivdennyi,Corn,56500,04-Sep-22,07-Sep-22
82,GEN. POLAD HASHIMOV,9575307,Türkiye,Chornomorsk,Sunflower oil,6450,04-Sep-22,07-Sep-22
83,BC CALLISTO,9400916,Egypt,Chornomorsk,Wheat,31400,04-Sep-22,09-Sep-22
84,MRC LINA,9462299,Türkiye,Yuzhny/Pivdennyi,Sunflower oil,7800,04-Sep-22,07-Sep-22
85,LADY PERLA,9149732,Italy,Yuzhny/Pivdennyi,Corn,20500,04-Sep-22,07-Sep-22
86,AFANASIY MATYSHENKO,8227783,Türkiye,Chornomorsk,Wheat,3000,04-Sep-22,TBD
87,NORD VIRGO,9711937,China,Yuzhny/Pivdennyi,Corn,62340,04-Sep-22,09-Sep-22
88,GOLDEN YARA,8915299,Türkiye,Yuzhny/Pivdennyi,Wheat,13500,05-Sep-22,10-Sep-22
89,MY MERAY,9000302,Egypt,Chornomorsk,Corn,30000,05-Sep-22,10-Sep-22
90,BARON,7352476,Türkiye,Odesa,Corn,5750,05-Sep-22,10-Sep-22
91,IRMGARD,9590967,Türkiye,Odesa,Wheat,27500,06-Sep-22,11-Sep-22
91,IRMGARD,9590967,Türkiye,Odesa,Corn,7179,06-Sep-22,11-Sep-22
92,QUEEN SARA,9132507,Egypt,Chornomorsk,Corn,11091,06-Sep-22,11-Sep-22
93,ORIS PRINCESS,9119907,Israel,Chornomorsk,Sunflower meal,4510,06-Sep-22,12-Sep-22
94,NEW LEVANT,9111371,Türkiye,Odesa,Wheat,26500,06-Sep-22,10-Sep-22
95,VITIS,9000613,Italy,Yuzhny/Pivdennyi,Sunflower oil,5800,06-Sep-22,10-Sep-22
96,OCMIS ADVENTURE,8919831,Greece,Yuzhny/Pivdennyi,Corn,4862,06-Sep-22,10-Sep-22
97,SEAGUARDIAN,9174268,Spain,Yuzhny/Pivdennyi,Sunflower meal,8640,07-Sep-22,12-Sep-22
97,SEAGUARDIAN,9174268,Spain,Yuzhny/Pivdennyi,Barley,34071,07-Sep-22,12-Sep-22
97,SEAGUARDIAN,9174268,Spain,Yuzhny/Pivdennyi,Wheat,20095,07-Sep-22,12-Sep-22
98,SUPER HENRY,9407483,Kenya,Odesa,Wheat,51400,07-Sep-22,TBD
99,ELIANA,9327310,Türkiye,Chornomorsk,Sunflower oil,5200,07-Sep-22,11-Sep-22
100,KAPTAN CEVDET,9005895,Türkiye,Chornomorsk,Soya beans,2472,07-Sep-22,12-Sep-22
101,JASMIN QUEEN,9109861,Türkiye,Odesa,Corn,9531,08-Sep-22,12-Sep-22
102,CAPTAIN ADAM 1,8914087,Türkiye,Chornomorsk,Wheat,9300,08-Sep-22,12-Sep-22
103,DIGNITY,9118238,Türkiye,Chornomorsk,Sunflower seed,8200,08-Sep-22,12-Sep-22
104,FILYOZ,9407213,Türkiye,Odesa,Sunflower oil,4410,08-Sep-22,12-Sep-22
105,SANTANA,9449388,Italy,Odesa,Wheat,10000,08-Sep-22,12-Sep-22
106,KIRAN AMERICA,9491264,China,Chornomorsk,Barley,30000,09-Sep-22,14-Sep-22
106,KIRAN AMERICA,9491264,China,Chornomorsk,Corn,20000,09-Sep-22,14-Sep-22
107,SUPER BAYERN,9278911,Egypt,Yuzhny/Pivdennyi,Corn,33000,09-Sep-22,13-Sep-22
108,SEVIL,9148518,Romania,Chornomorsk,Rapeseed,4700,09-Sep-22,13-Sep-22
109,EAUBONNE,9663104,Spain,Odesa,Corn,32794,10-Sep-22,16-Sep-22
109,EAUBONNE,9663104,Spain,Odesa,Wheat,13853,10-Sep-22,16-Sep-22
109,EAUBONNE,9663104,Spain,Odesa,Barley,10853,10-Sep-22,16-Sep-22
110,LUCKY,9037305,Greece,Yuzhny/Pivdennyi,Corn,6000,10-Sep-22,14-Sep-22
110,LUCKY,9037305,Greece,Yuzhny/Pivdennyi,Barley,4400,10-Sep-22,14-Sep-22
111,PRINCESS AMNAH,9008067,Italy,Chornomorsk,Wheat,6000,10-Sep-22,13-Sep-22
112,A-LINE,9246920,Egypt,Chornomorsk,Corn,10700,10-Sep-22,13-Sep-22
113,LADY SHAM,9171383,Italy,Odesa,Sunflower seed,5600,10-Sep-22,14-Sep-22
114,BRIZA,9286815,Greece,Chornomorsk,Corn,6500,11-Sep-22,15-Sep-22
115,MAGNOLIA,9575333,Türkiye,Chornomorsk,Sunflower oil,6600,11-Sep-22,16-Sep-22
116,S-BRILLIANT,9275323,The Netherlands,Chornomorsk,Rapeseed,40220,11-Sep-22,15-Sep-22
117,AHMET CAN,9368182,Türkiye,Chornomorsk,Wheat bran pellets,2800,12-Sep-22,16-Sep-22
118,SALLY M,9152844,Lebanon,Chornomorsk,Corn,6857,12-Sep-22,17-Sep-22
119,NORD STARK,9691591,Spain,Chornomorsk,Wheat,27500,12-Sep-22,17-Sep-22
120,ORIS SOFI,8920282,Türkiye,Odesa,Sunflower oil,3026,12-Sep-22,15-Sep-22
120,ORIS SOFI,8920282,Lebanon,Odesa,Sunflower oil,2973,12-Sep-22,15-Sep-22
121,HADAR,9615028,Italy,Yuzhny/Pivdennyi,Wheat,23500,12-Sep-22,16-Sep-22
121,HADAR,9615028,Italy,Yuzhny/Pivdennyi,Corn,3500,12-Sep-22,16-Sep-22
122,WIN SINO,9278519,India,Yuzhny/Pivdennyi,Sunflower oil,43500,12-Sep-22,17-Sep-22
123,SUPER SAKA,9456551,Spain,Odesa,Wheat,29000,13-Sep-22,18-Sep-22
123,SUPER SAKA,9456551,Spain,Odesa,Corn,21000,13-Sep-22,18-Sep-22
124,YASA TEAM,9296250,Israel,Yuzhny/Pivdennyi,Corn,64951,13-Sep-22,18-Sep-22
125,PROPUS,9133757,Türkiye,Odesa,Corn,8500,13-Sep-22,18-Sep-22
126,FANARIA,9228241,Spain,Odesa,Wheat,18000,13-Sep-22,17-Sep-22
127,SAFFET AGA,9376282,Türkiye,Odesa,Soya beans,3300,13-Sep-22,18-Sep-22
128,ATA OCEAN,9519614,Türkiye,Yuzhny/Pivdennyi,Sunflower oil,6300,13-Sep-22,18-Sep-22
129,GREIFSWALD,8311912,Türkiye,Chornomorsk,Corn,492,13-Sep-22,18-Sep-22
130,TAMREY S,9171541,Italy,Odesa,Corn,18100,14-Sep-22,TBD
130,TAMREY S,9171541,Italy,Odesa,Soya beans,5500,14-Sep-22,TBD
130,TAMREY S,9171541,Italy,Odesa,Wheat,5400,14-Sep-22,TBD
131,MARANTA,9206669,Italy,Odesa,Soya beans,5300,14-Sep-22,18-Sep-22
132,CPT DIMITRIOS S,9221592,Spain,Yuzhny/Pivdennyi,Corn,56800,14-Sep-22,19-Sep-22
132,CPT DIMITRIOS S,9221592,Spain,Yuzhny/Pivdennyi,Barley,8543,14-Sep-22,19-Sep-22
133,T-MED,9163142,Türkiye,Yuzhny/Pivdennyi,Wheat,5500,14-Sep-22,19-Sep-22
134,INCE AKDENIZ,9456460,Bangladesh,Yuzhny/Pivdennyi,Wheat,55000,14-Sep-22,TBD
135,GLORY DINA,9464522,Türkiye,Chornomorsk,Wheat,27000,14-Sep-22,18-Sep-22
136,CENK CAR,8611984,Türkiye,Chornomorsk,Mixed,257,14-Sep-22,18-Sep-22
137,ASTRA CENTAURUS,9611802,Spain,Chornomorsk,Wheat,55000,15-Sep-22,TBD
138,DERG,9393060,The Netherlands,Chornomorsk,Sunflower oil,9600,15-Sep-22,TBD
139,EIDER S,9364784,Spain,Yuzhny/Pivdennyi,Corn,50855,15-Sep-22,TBD
140,KAN 2,9154268,Libya,Odesa,Corn,11000,15-Sep-22,TBD
140,KAN 2,9154268,Libya,Odesa,Barley,2981,15-Sep-22,TBD
141,LARA S,9334301,Italy,Odesa,Sunflower oil,5750,15-Sep-22,TBD
142,MAHER,8806905,Tunisia,Chornomorsk,Wheat,7800,15-Sep-22,TBD
143,NORAH,9460289,Belgium,Chornomorsk,Rapeseed,30000,15-Sep-22,TBD
144,VALERIO,9244037,Türkiye,Odesa,Corn,26000,15-Sep-22,TBD
145,ANNABELLA,8919788,Romania,Chornomorsk,Rapeseed,8500,16-Sep-22,TBD
146,BREEZE,9455650,Germany,Odesa,Rapeseed,47200,16-Sep-22,TBD
147,CS CIHAN,9045704,Egypt,Odesa,Soya beans,6400,16-Sep-22,TBD
148,NAVIN VULTURE,9543328,Greece,Yuzhny/Pivdennyi,Barley,4258,16-Sep-22,TBD
148,NAVIN VULTURE,9543328,Greece,Yuzhny/Pivdennyi,Corn,2026,16-Sep-22,TBD
149,OCTOPUS,9518634,Romania,Yuzhny/Pivdennyi,Corn,6500,16-Sep-22,TBD
150,BARONESS,9588407,Italy,Chornomorsk,Wheat,30900,17-Sep-22,TBD
151,GOZO,9109964,Spain,Odesa,Wheat,26000,17-Sep-22,TBD
152,HORUS,9635690,China,Chornomorsk,Sunflower meal,53012,17-Sep-22,TBD
152,HORUS,9635690,China,Chornomorsk,Barley,9694,17-Sep-22,TBD
153,IKARIA ANGEL,9194397,Djibouti,Chornomorsk,Wheat,30000,17-Sep-22,TBD
154,PACIFIC ROSE,9299460,Italy,Yuzhny/Pivdennyi,Soya beans,20000,17-Sep-22,TBD
154,PACIFIC ROSE,9299460,Italy,Yuzhny/Pivdennyi,Corn,5105,17-Sep-22,TBD
155,VELVET ROSE,9281968,China,Chornomorsk,Sunflower meal,29350,17-Sep-22,TBD
156,ADELHEID BR,9387621,Türkiye,Odesa,Barley,8750,18-Sep-22,TBD
157,BELLA JUDI,9595371,Romania,Chornomorsk,Corn,32900,18-Sep-22,TBD
158,CPT.AHMAD II,9031430,Türkiye,Chornomorsk,Wheat,4030,18-Sep-22,TBD
159,GENOA,9805659,Portugal,Chornomorsk,Canola,22000,18-Sep-22,TBD
159,GENOA,9805659,France,Chornomorsk,Canola,29256,18-Sep-22,TBD
160,KAFKAM ETLER,9001112,Türkiye,Chornomorsk,Corn,2413,18-Sep-22,TBD
161,KAUNAS,8311924,Türkiye,Chornomorsk,Corn,525,18-Sep-22,TBD
162,RUBYMAR,9138898,Egypt,Odesa,Corn,29600,18-Sep-22,TBD
163,SK FRIENDSHIP,8909446,Türkiye,Chornomorsk,Wheat,6900,18-Sep-22,TBD
164,AKSON SARA,9475739,Italy,Yuzhny/Pivdennyi,Corn,30700,19-Sep-22,TBD
165,ARCTURUS,9221334,Spain,Yuzhny/Pivdennyi,Wheat,69080,19-Sep-22,TBD
166,ESENCE,7827342,Türkiye,Chornomorsk,Wheat,3000,19-Sep-22,TBD
167,FULMAR S,9370082,Italy,Odesa,Sunflower meal,4400,19-Sep-22,TBD
167,FULMAR S,9370082,Italy,Odesa,Rapeseed meal,3400,19-Sep-22,TBD
168,GULMAR,9146962,Spain,Odesa,Wheat,16300,19-Sep-22,TBD
168,GULMAR,9146962,Spain,Odesa,Corn,17350,19-Sep-22,TBD
168,GULMAR,9146962,Spain,Odesa,Barley,8350,19-Sep-22,TBD
169,TOMAHAWK,9737591,China,Yuzhny/Pivdennyi,Sunflower meal,60000,19-Sep-22,TBD
170,APHRODITE M,9450832,Spain,Chornomorsk,Sunflower seed,18150,20-Sep-22,TBD
171,NIZAR,8324751,Türkiye,Odesa,Soya beans,4950,20-Sep-22,TBD
172,NORAN,9175822,Türkiye,Chornomorsk,Wheat,8100,20-Sep-22,TBD
173,NYMPHI,9615030,The Netherlands,Chornomorsk,Corn,27100,20-Sep-22,TBD
174,PAULINE,9325350,Germany,Chornomorsk,Corn,48750,20-Sep-22,TBD
175,PGE RAIN,9005857,Türkiye,Odesa,Soya beans,4400,20-Sep-22,TBD
176,RIDER,9017628,Italy,Odesa,Wheat,9751,20-Sep-22,TBD
177,SSI PRIDE,9250579,Bangladesh,Odesa,Wheat,46500,20-Sep-22,TBD
178,TINA S,9498432,Italy,Odesa,Corn,33000,20-Sep-22,TBD
