#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
640,GEORGIA T,9583756,Chornomorsk,China,Sunflower meal,61252,1/13/2023,1/25/2023,:cn:,developing,other developing,Upper middle income,2,January
639,GARNET,9450741,Yuzhny/Pivdennyi,Türkiye,Corn,33000,1/13/2023,1/29/2023,:tr:,developing,other developing,Upper middle income,2,January
638,CUMA,9311206,Yuzhny/Pivdennyi,China,Corn,70799,1/13/2023,2/15/2023,:cn:,developing,other developing,Upper middle income,2,January
637,CAPE SCOTT,9159737,Chornomorsk,Portugal,Corn,28000,1/13/2023,1/21/2023,:pt:,developed,developed,High income,2,January
636,BOSPHORUS KING,9111357,Chornomorsk,Italy,Corn,25000,1/13/2023,1/23/2023,:it:,developed,developed,High income,2,January
635,LADY LITEL,9571428,Odesa,Libya,Wheat,31000,1/12/2023,1/17/2023,:ly:,developing,other developing,Upper middle income,2,January
634,EAST WIND I,9278973,Odesa,Tunisia,Barley,25000,1/12/2023,1/19/2023,:tn:,developing,other developing,Lower middle income,2,January
633,TRUE HARMONY,9470789,Odesa,Egypt,Corn,25900,1/8/2023,1/22/2023,:eg:,developing,other developing,Lower middle income,1,January
632,MKK 1,8902929,Yuzhny/Pivdennyi,Türkiye,Peas,13000,1/8/2023,1/20/2023,:tr:,developing,other developing,Upper middle income,1,January
631,LEO I,9231561,Odesa,Sri Lanka,Wheat,49500,1/8/2023,1/30/2023,:lk:,developing,other developing,Lower middle income,1,January
630,BOMUSTAFA O,9114476,Chornomorsk,United Kingdom,Sunflower seed,12500,1/8/2023,1/23/2023,:gb:,developed,developed,High income,1,January
629,MENTOR,9340374,Yuzhny/Pivdennyi,Spain,Sunflower oil,12200,1/7/2023,1/21/2023,:es:,developed,developed,High income,1,January
628,MED ISLAND,9322748,Odesa,Italy,Corn,27000,1/6/2023,1/16/2023,:it:,developed,developed,High income,1,January
627,LADY DIVINA,9354052,Chornomorsk,Italy,Wheat,18300,1/6/2023,1/14/2023,:it:,developed,developed,High income,1,January
626,STAR GALAXY,9728908,Yuzhny/Pivdennyi,China,Corn,66500,1/5/2023,1/13/2023,:cn:,developing,other developing,Upper middle income,1,January
625,SAADET C,9549267,Chornomorsk,Spain,Soya beans,21100,1/5/2023,1/16/2023,:es:,developed,developed,High income,1,January
624,MAHA TANAYA,9591181,Chornomorsk,China,Corn,69145,1/5/2023,1/13/2023,:cn:,developing,other developing,Upper middle income,1,January
623,SHEN YU 79,9228069,Chornomorsk,China,Corn,64667,1/4/2023,1/14/2023,:cn:,developing,other developing,Upper middle income,1,January
622,PRESIGNE,9715452,Yuzhny/Pivdennyi,China,Corn,70514,1/4/2023,1/12/2023,:cn:,developing,other developing,Upper middle income,1,January
621,MONA KH,9187708,Yuzhny/Pivdennyi,China,Corn,44670,1/4/2023,1/12/2023,:cn:,developing,other developing,Upper middle income,1,January
621,MONA KH,9187708,Yuzhny/Pivdennyi,China,Sunflower meal,18000,1/4/2023,1/12/2023,:cn:,developing,other developing,Upper middle income,1,January
620,VELVET,9826433,Odesa,Bangladesh,Wheat,57000,1/3/2023,1/16/2023,:bd:,developing,least developed,Lower middle income,1,January
619,SUPER ODEGAARD,9479046,Chornomorsk,China,Sunflower meal,35000,1/3/2023,1/15/2023,:cn:,developing,other developing,Upper middle income,1,January
618,SELIN D,9221786,Odesa,Türkiye,Sunflower oil,6000,1/2/2023,1/12/2023,:tr:,developing,other developing,Upper middle income,1,January
617,XIN SHUN,9252199,Odesa,The Netherlands,Soya beans,46700,1/1/2023,1/8/2023,:nl:,developed,developed,High income,52,January
