#,Vessel name,IMO,Departure port,Country,Commodity,Tonnage,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
185,SWIMMER,9033713,Chornomorsk,Türkiye,Sunflower meal,2950,9/21/2022,10/6/2022,:tr:,developing,other developing,Upper middle income,38,September
186,ALSU,9808742,Yuzhny/Pivdennyi,Egypt,Sunflower oil,3100,9/22/2022,10/3/2022,:eg:,developing,other developing,Lower middle income,38,September
187,ANT,9412311,Odesa,Türkiye,Barley,4500,9/22/2022,10/4/2022,:tr:,developing,other developing,Upper middle income,38,September
188,BC VANESSA,9426855,Odesa,Afghanistan,Wheat,30000,9/22/2022,9/28/2022,:af:,developing,least developed,Low income,38,September
189,ELLIE M,9235854,Chornomorsk,Spain,Corn,50220,9/22/2022,10/10/2022,:es:,developed,developed,High income,38,September
190,MOHAMAD Y,8107000,Odesa,Türkiye,Wheat,11000,9/22/2022,10/3/2022,:tr:,developing,other developing,Upper middle income,38,September
191,ORIS MARINE,9179488,Odesa,Türkiye,Sunflower oil,3500,9/22/2022,10/2/2022,:tr:,developing,other developing,Upper middle income,38,September
192,FORTUNA,9118252,Yuzhny/Pivdennyi,France,Sunflower meal,10252,9/23/2022,10/6/2022,:fr:,developed,developed,High income,38,September
193,GEM STAR,9496173,Yuzhny/Pivdennyi,The Netherlands,Corn,31039,9/23/2022,10/10/2022,:nl:,developed,developed,High income,38,September
194,GUDENA,9280196,Chornomorsk,Türkiye,Sunflower oil,3860,9/23/2022,10/4/2022,:tr:,developing,other developing,Upper middle income,38,September
195,LADY AYANA,9196395,Chornomorsk,Italy,Corn,27000,9/23/2022,10/14/2022,:it:,developed,developed,High income,38,September
196,MAVKA,9284647,Yuzhny/Pivdennyi,Romania,Sunflower oil,11950,9/23/2022,10/4/2022,:ro:,developed,developed,High income,38,September
197,MERRY M,8418265,Chornomorsk,Türkiye,Sunflower meal,4450,9/23/2022,10/6/2022,:tr:,developing,other developing,Upper middle income,38,September
198,MO GAN SHAN,9663099,Chornomorsk,Bangladesh,Wheat,57311,9/23/2022,10/3/2022,:bd:,developing,least developed,Lower middle income,38,September
